security,date,vwap,close,volume,fut_val_pt,fut_contract_size,contract_value,price_basis,usd_notional_traded
CL1 Comdty,2025-06-17,73.2455,74.84,154264.0,1000.0,1000.0,75350.00000000001,vwap,11299143812.0
CL1 Comdty,2025-06-18,74.5441,75.14,103160.0,1000.0,1000.0,75350.00000000001,vwap,7689969356.0
CL1 Comdty,2025-06-19,76.1884,,,1000.0,1000.0,75350.00000000001,vwap,
CL1 Comdty,2025-06-20,74.9791,74.93,34046.0,1000.0,1000.0,75350.00000000001,vwap,2552738438.6
CL1 Comdty,2025-06-23,72.317,68.51,728868.0,1000.0,1000.0,75350.00000000001,vwap,52709547155.99999
CL1 Comdty,2025-06-24,65.5909,64.37,541475.0,1000.0,1000.0,75350.00000000001,vwap,35515832577.5
CL1 Comdty,2025-06-25,65.2225,64.92,278504.0,1000.0,1000.0,75350.00000000001,vwap,18164727140.0
CL1 Comdty,2025-06-26,65.5221,65.24,233771.0,1000.0,1000.0,75350.00000000001,vwap,15317166839.1
CL1 Comdty,2025-06-27,65.502,65.52,236284.0,1000.0,1000.0,75350.00000000001,vwap,15477074567.999998
CL1 Comdty,2025-06-30,65.0886,65.11,193289.0,1000.0,1000.0,75350.00000000001,vwap,12580910405.4
CL1 Comdty,2025-07-01,65.4242,65.45,193162.0,1000.0,1000.0,75350.00000000001,vwap,12637469320.4
CL1 Comdty,2025-07-02,66.3304,67.45,265200.0,1000.0,1000.0,75350.00000000001,vwap,17590822080.0
CL1 Comdty,2025-07-03,67.0143,67.0,220440.0,1000.0,1000.0,75350.00000000001,vwap,14772632292.000002
CL1 Comdty,2025-07-04,66.5266,,,1000.0,1000.0,75350.00000000001,vwap,
CL1 Comdty,2025-07-07,67.2351,67.93,332949.0,1000.0,1000.0,75350.00000000001,vwap,22385859309.9
CL1 Comdty,2025-07-08,68.0484,68.33,219882.0,1000.0,1000.0,75350.00000000001,vwap,14962618288.8
CL1 Comdty,2025-07-09,68.3415,68.38,223945.0,1000.0,1000.0,75350.00000000001,vwap,15304737217.5
CL1 Comdty,2025-07-10,67.2897,66.57,258654.0,1000.0,1000.0,75350.00000000001,vwap,17404750063.8
CL1 Comdty,2025-07-11,67.8469,68.45,226297.0,1000.0,1000.0,75350.00000000001,vwap,15353549929.300001
CL1 Comdty,2025-07-14,68.1084,66.98,263877.0,1000.0,1000.0,75350.00000000001,vwap,17972240266.800003
CL1 Comdty,2025-07-15,66.6269,66.52,252724.0,1000.0,1000.0,75350.00000000001,vwap,16838216675.6
CL1 Comdty,2025-07-16,66.1472,66.38,248346.0,1000.0,1000.0,75350.00000000001,vwap,16427392531.199999
CL1 Comdty,2025-07-17,67.0464,67.54,188802.0,1000.0,1000.0,75350.00000000001,vwap,12658494412.800001
CL1 Comdty,2025-07-18,67.9226,67.34,107628.0,1000.0,1000.0,75350.00000000001,vwap,7310373592.800001
CL1 Comdty,2025-07-21,67.1887,67.2,81194.0,1000.0,1000.0,75350.00000000001,vwap,5455319307.799999
CL1 Comdty,2025-07-22,66.2459,66.21,18614.0,1000.0,1000.0,75350.00000000001,vwap,1233101182.6000001
CL1 Comdty,2025-07-23,65.1083,65.25,251825.0,1000.0,1000.0,75350.00000000001,vwap,16395897647.499998
CL1 Comdty,2025-07-24,65.9019,66.03,281209.0,1000.0,1000.0,75350.00000000001,vwap,18532207397.1
CL1 Comdty,2025-07-25,65.7663,65.16,234283.0,1000.0,1000.0,75350.00000000001,vwap,15407926062.900002
CL1 Comdty,2025-07-28,66.3789,66.71,262038.0,1000.0,1000.0,75350.00000000001,vwap,17393794198.199997
CL1 Comdty,2025-07-29,68.0024,69.21,329112.0,1000.0,1000.0,75350.00000000001,vwap,22380405868.8
CL1 Comdty,2025-07-30,69.6159,70.0,345336.0,1000.0,1000.0,75350.00000000001,vwap,24040876442.399998
CL1 Comdty,2025-07-31,69.4117,69.26,247031.0,1000.0,1000.0,75350.00000000001,vwap,17146841662.699997
CL1 Comdty,2025-08-01,68.1443,67.33,355819.0,1000.0,1000.0,75350.00000000001,vwap,24247036681.699997
CL1 Comdty,2025-08-04,66.366,66.29,277375.0,1000.0,1000.0,75350.00000000001,vwap,18408269250.0
CL1 Comdty,2025-08-05,65.5029,65.16,279030.0,1000.0,1000.0,75350.00000000001,vwap,18277274187.0
CL1 Comdty,2025-08-06,65.3908,64.35,353827.0,1000.0,1000.0,75350.00000000001,vwap,23137030591.600002
CL1 Comdty,2025-08-07,64.3627,63.88,300518.0,1000.0,1000.0,75350.00000000001,vwap,19342149878.600002
CL1 Comdty,2025-08-08,63.8073,63.88,322939.0,1000.0,1000.0,75350.00000000001,vwap,20605865654.7
CL1 Comdty,2025-08-11,63.891,63.96,234807.0,1000.0,1000.0,75350.00000000001,vwap,15002054037.0
CL1 Comdty,2025-08-12,63.5068,63.17,304441.0,1000.0,1000.0,75350.00000000001,vwap,19334073698.800003
CL1 Comdty,2025-08-13,62.6715,62.65,298939.0,1000.0,1000.0,75350.00000000001,vwap,18734955538.5
CL1 Comdty,2025-08-14,63.4247,63.96,251652.0,1000.0,1000.0,75350.00000000001,vwap,15960952604.4
CL1 Comdty,2025-08-15,63.2643,62.8,197390.0,1000.0,1000.0,75350.00000000001,vwap,12487740177.0
CL1 Comdty,2025-08-18,63.004,63.42,95113.0,1000.0,1000.0,75350.00000000001,vwap,5992499452.0
CL1 Comdty,2025-08-19,62.642,62.35,99484.0,1000.0,1000.0,75350.00000000001,vwap,6231876728.0
CL1 Comdty,2025-08-20,63.1903,63.21,27156.0,1000.0,1000.0,75350.00000000001,vwap,1715995786.8000002
CL1 Comdty,2025-08-21,63.1558,63.52,250166.0,1000.0,1000.0,75350.00000000001,vwap,15799433862.800001
CL1 Comdty,2025-08-22,63.6501,63.66,223169.0,1000.0,1000.0,75350.00000000001,vwap,14204729166.9
CL1 Comdty,2025-08-25,64.4828,64.8,185270.0,1000.0,1000.0,75350.00000000001,vwap,11946728355.999998
CL1 Comdty,2025-08-26,63.7279,63.25,199101.0,1000.0,1000.0,75350.00000000001,vwap,12688288617.9
CL1 Comdty,2025-08-27,63.642,64.15,193476.0,1000.0,1000.0,75350.00000000001,vwap,12313199592.0
CL1 Comdty,2025-08-28,63.9464,64.6,208931.0,1000.0,1000.0,75350.00000000001,vwap,13360385298.4
CL1 Comdty,2025-08-29,64.1582,64.01,183255.0,1000.0,1000.0,75350.00000000001,vwap,11757310941.0
CL1 Comdty,2025-09-01,64.5344,,,1000.0,1000.0,75350.00000000001,vwap,
CL1 Comdty,2025-09-02,65.3278,65.59,320218.0,1000.0,1000.0,75350.00000000001,vwap,20919137460.4
CL1 Comdty,2025-09-03,64.3528,63.97,298737.0,1000.0,1000.0,75350.00000000001,vwap,19224562413.600002
CL1 Comdty,2025-09-04,63.3544,63.48,251689.0,1000.0,1000.0,75350.00000000001,vwap,15945605581.599998
CL1 Comdty,2025-09-05,62.2166,61.87,294540.0,1000.0,1000.0,75350.00000000001,vwap,18325277364.0
CL1 Comdty,2025-09-08,62.5765,62.26,237288.0,1000.0,1000.0,75350.00000000001,vwap,14848652532.000002
CL1 Comdty,2025-09-09,62.9879,62.63,268529.0,1000.0,1000.0,75350.00000000001,vwap,16914077799.1
CL1 Comdty,2025-09-10,63.4923,63.67,260684.0,1000.0,1000.0,75350.00000000001,vwap,16551426733.2
CL1 Comdty,2025-09-11,62.7302,62.37,222661.0,1000.0,1000.0,75350.00000000001,vwap,13967569062.2
CL1 Comdty,2025-09-12,62.981,62.69,313265.0,1000.0,1000.0,75350.00000000001,vwap,19729742965.0
CL1 Comdty,2025-09-15,63.1956,63.3,205560.0,1000.0,1000.0,75350.00000000001,vwap,12990487536.0
CL1 Comdty,2025-09-16,64.0872,64.52,234250.0,1000.0,1000.0,75350.00000000001,vwap,15012426600.0
CL1 Comdty,2025-09-17,64.2278,64.05,165427.0,1000.0,1000.0,75350.00000000001,vwap,10625012270.6
CL1 Comdty,2025-09-18,63.8529,63.57,82321.0,1000.0,1000.0,75350.00000000001,vwap,5256434580.9
CL1 Comdty,2025-09-19,63.0599,62.68,87165.0,1000.0,1000.0,75350.00000000001,vwap,5496616183.5
CL1 Comdty,2025-09-22,62.611,62.64,18654.0,1000.0,1000.0,75350.00000000001,vwap,1167945594.0
CL1 Comdty,2025-09-23,63.1774,63.41,265948.0,1000.0,1000.0,75350.00000000001,vwap,16801903175.2
CL1 Comdty,2025-09-24,64.3776,64.99,282721.0,1000.0,1000.0,75350.00000000001,vwap,18200899449.6
CL1 Comdty,2025-09-25,64.6812,64.98,258353.0,1000.0,1000.0,75350.00000000001,vwap,16710582063.600002
CL1 Comdty,2025-09-26,65.6097,65.72,284990.0,1000.0,1000.0,75350.00000000001,vwap,18698108403.0
CL1 Comdty,2025-09-29,63.8857,63.45,294292.0,1000.0,1000.0,75350.00000000001,vwap,18801050424.4
CL1 Comdty,2025-09-30,62.6103,62.37,271649.0,1000.0,1000.0,75350.00000000001,vwap,17008025384.7
CL1 Comdty,2025-10-01,61.9426,61.78,274339.0,1000.0,1000.0,75350.00000000001,vwap,16993270941.4
CL1 Comdty,2025-10-02,61.1777,60.48,290507.0,1000.0,1000.0,75350.00000000001,vwap,17772550093.899998
CL1 Comdty,2025-10-03,60.9615,60.88,240044.0,1000.0,1000.0,75350.00000000001,vwap,14633442306.0
CL1 Comdty,2025-10-06,61.6336,61.69,224682.0,1000.0,1000.0,75350.00000000001,vwap,13847960515.2
CL1 Comdty,2025-10-07,61.5569,61.73,245121.0,1000.0,1000.0,75350.00000000001,vwap,15088888884.9
CL1 Comdty,2025-10-08,62.5102,62.55,273318.0,1000.0,1000.0,75350.00000000001,vwap,17085162843.6
CL1 Comdty,2025-10-09,62.0821,61.51,259171.0,1000.0,1000.0,75350.00000000001,vwap,16089879939.099998
CL1 Comdty,2025-10-10,59.8464,58.9,339103.0,1000.0,1000.0,75350.00000000001,vwap,20294093779.2
CL1 Comdty,2025-10-13,59.6854,59.49,276793.0,1000.0,1000.0,75350.00000000001,vwap,16520500922.2
CL1 Comdty,2025-10-14,58.4877,58.7,259200.0,1000.0,1000.0,75350.00000000001,vwap,15160011840.0
CL1 Comdty,2025-10-15,58.682,58.27,224919.0,1000.0,1000.0,75350.00000000001,vwap,13198696758.000002
CL1 Comdty,2025-10-16,58.1238,57.46,203866.0,1000.0,1000.0,75350.00000000001,vwap,11849466610.8
CL1 Comdty,2025-10-17,57.353,57.54,108748.0,1000.0,1000.0,75350.00000000001,vwap,6237024044.0
CL1 Comdty,2025-10-20,57.109,57.52,108146.0,1000.0,1000.0,75350.00000000001,vwap,6176109914.0
CL1 Comdty,2025-10-21,57.7813,57.82,27733.0,1000.0,1000.0,75350.00000000001,vwap,1602448792.9
CL1 Comdty,2025-10-22,58.5969,58.5,378637.0,1000.0,1000.0,75350.00000000001,vwap,22186954425.3
CL1 Comdty,2025-10-23,61.3491,61.79,735186.0,1000.0,1000.0,75350.00000000001,vwap,45102999432.6
CL1 Comdty,2025-10-24,61.8866,61.5,373744.0,1000.0,1000.0,75350.00000000001,vwap,23129745430.399998
CL1 Comdty,2025-10-27,61.505,61.31,272191.0,1000.0,1000.0,75350.00000000001,vwap,16741107455.0
CL1 Comdty,2025-10-28,60.3364,60.15,307568.0,1000.0,1000.0,75350.00000000001,vwap,18557545875.2
CL1 Comdty,2025-10-29,60.4472,60.48,276875.0,1000.0,1000.0,75350.00000000001,vwap,16736318500.0
CL1 Comdty,2025-10-30,60.2569,60.57,247917.0,1000.0,1000.0,75350.00000000001,vwap,14938709877.3
CL1 Comdty,2025-10-31,60.7077,60.98,278598.0,1000.0,1000.0,75350.00000000001,vwap,16913043804.6
CL1 Comdty,2025-11-03,61.0484,61.05,213669.0,1000.0,1000.0,75350.00000000001,vwap,13044150579.6
CL1 Comdty,2025-11-04,60.4837,60.56,219300.0,1000.0,1000.0,75350.00000000001,vwap,13264075410.0
CL1 Comdty,2025-11-05,60.18,59.6,292518.0,1000.0,1000.0,75350.00000000001,vwap,17603733240.0
CL1 Comdty,2025-11-06,59.521,59.43,277768.0,1000.0,1000.0,75350.00000000001,vwap,16533029128.0
CL1 Comdty,2025-11-07,59.8275,59.75,259446.0,1000.0,1000.0,75350.00000000001,vwap,15522005565.0
CL1 Comdty,2025-11-10,59.9361,60.13,222879.0,1000.0,1000.0,75350.00000000001,vwap,13358498031.9
CL1 Comdty,2025-11-11,60.7206,61.04,264427.0,1000.0,1000.0,75350.00000000001,vwap,16056166096.199999
CL1 Comdty,2025-11-12,59.3551,58.49,329517.0,1000.0,1000.0,75350.00000000001,vwap,19558514486.699997
CL1 Comdty,2025-11-13,58.7662,58.69,247349.0,1000.0,1000.0,75350.00000000001,vwap,14535760803.8
CL1 Comdty,2025-11-14,59.9158,60.09,334116.0,1000.0,1000.0,75350.00000000001,vwap,20018827432.8
CL1 Comdty,2025-11-17,59.9293,59.91,189638.0,1000.0,1000.0,75350.00000000001,vwap,11364872593.4
CL1 Comdty,2025-11-18,60.118,60.74,105325.0,1000.0,1000.0,75350.00000000001,vwap,6331928350.000001
CL1 Comdty,2025-11-19,59.5221,59.44,79622.0,1000.0,1000.0,75350.00000000001,vwap,4739268646.200001
CL1 Comdty,2025-11-20,59.298,59.14,27580.0,1000.0,1000.0,75350.00000000001,vwap,1635438840.0
CL1 Comdty,2025-11-21,57.9226,58.06,345014.0,1000.0,1000.0,75350.00000000001,vwap,19984107916.4
CL1 Comdty,2025-11-24,58.2093,58.84,238138.0,1000.0,1000.0,75350.00000000001,vwap,13861846283.4
CL1 Comdty,2025-11-25,57.7943,57.95,334442.0,1000.0,1000.0,75350.00000000001,vwap,19328841280.6
CL1 Comdty,2025-11-26,58.1071,58.65,228285.0,1000.0,1000.0,75350.00000000001,vwap,13264979323.5
CL1 Comdty,2025-11-27,58.7565,,,1000.0,1000.0,75350.00000000001,vwap,
CL1 Comdty,2025-11-28,59.1241,58.55,153758.0,1000.0,1000.0,75350.00000000001,vwap,9090803367.8
CL1 Comdty,2025-12-01,59.3728,59.32,232770.0,1000.0,1000.0,75350.00000000001,vwap,13820206656.0
CL1 Comdty,2025-12-02,58.9514,58.64,255513.0,1000.0,1000.0,75350.00000000001,vwap,15062849068.199999
CL1 Comdty,2025-12-03,59.1827,58.95,260974.0,1000.0,1000.0,75350.00000000001,vwap,15445145949.8
CL1 Comdty,2025-12-04,59.4817,59.67,264993.0,1000.0,1000.0,75350.00000000001,vwap,15762234128.099998
CL1 Comdty,2025-12-05,59.9678,60.08,255075.0,1000.0,1000.0,75350.00000000001,vwap,15296286584.999998
CL1 Comdty,2025-12-08,59.3106,58.88,263009.0,1000.0,1000.0,75350.00000000001,vwap,15599221595.4
CL1 Comdty,2025-12-09,58.5145,58.25,260206.0,1000.0,1000.0,75350.00000000001,vwap,15225823987.0
CL1 Comdty,2025-12-10,58.2793,58.46,256508.0,1000.0,1000.0,75350.00000000001,vwap,14949106684.4
CL1 Comdty,2025-12-11,57.5688,57.6,286808.0,1000.0,1000.0,75350.00000000001,vwap,16511192390.400002
CL1 Comdty,2025-12-12,57.5695,57.44,212806.0,1000.0,1000.0,75350.00000000001,vwap,12251135017.0
CL1 Comdty,2025-12-15,56.9329,56.82,229310.0,1000.0,1000.0,75350.00000000001,vwap,13055283298.999998
