date,open,high,low,close,volume,num_trades,vwap_hlc3,usd_volume
2026-03-04,81.1,82.849,80.716,82.325,16527.03,682,81.9633,1354610.47
2026-03-05,82.337,86.323,81.644,84.485,238929.98,6875,84.1507,20106117.10
2026-03-06,84.42,93.707,83.201,90.778,622859.59,21556,89.2287,55576930.74
2026-03-07,91.05,96.999,89.204,95.608,180697.92,24667,93.9370,16974220.51
2026-03-08,95.605,110.0,95.589,107.8,365376.73,24385,104.4630,38168349.35
2026-03-09,107.64,117.58,81.424,91.191,2848426.52,121836,96.7317,275533044.66
2026-03-10,91.045,92.794,80.2,89.068,2190446.31,105101,87.3540,191344246.96
2026-03-11,89.066,96.428,84.921,94.188,1665101.16,85875,91.8457,152932326.11
2026-03-12,94.188,102.1,92.1,98.015,2451904.37,101747,97.4050,238827745.16
2026-03-13,97.989,100.5,94.042,98.522,1637871.08,63451,97.6880,160000350.06
2026-03-14,98.346,106.94,98.045,103.25,898862.15,71906,102.7450,92353591.60
2026-03-15,103.31,106.24,99.0,99.492,1305134.89,73541,101.5773,132572121.77
2026-03-16,99.55,101.8,95.323,97.462,2357896.85,95113,98.1950,231533681.19
2026-03-17,97.436,100.61,97.2,99.484,1441802.2,61157,99.0980,142879714.42
2026-03-18,99.541,107.06,96.736,105.65,2526862.74,93700,103.1487,260642522.48
2026-03-19,105.62,112.16,99.647,102.58,6048120.27,179414,104.7957,633816795.77
2026-03-20,102.55,107.5,100.4,105.77,3021986.76,109655,104.5567,315968862.34
2026-03-21,105.68,107.39,102.88,107.21,686517.04,37423,105.8267,72651809.95
2026-03-22,107.22,112.19,105.44,107.18,1872202.19,83224,108.2700,202703331.11
2026-03-23,107.17,109.8,88.092,97.036,9379190.38,207310,98.3093,922061953.46
2026-03-24,97.053,103.41,94.0,96.517,5671442.13,136607,97.9757,555663323.65
2026-03-25,96.517,98.369,93.55,97.869,4155849.56,137369,96.5960,401438444.10
2026-03-26,97.875,102.43,96.663,100.67,3548858.05,128743,99.9210,354605445.21
2026-03-27,100.66,107.99,98.929,107.59,3494045.2,130028,104.8363,366302887.27
2026-03-28,107.57,108.09,104.77,107.3,718771.55,72080,106.7200,76707299.82
2026-03-29,107.3,109.01,106.2,108.48,1058577.58,62278,107.8967,114216992.29
2026-03-30,108.48,110.07,106.13,109.24,3343680.47,122736,108.4800,362722457.39
2026-03-31,109.24,109.85,102.37,103.55,6634740.03,165843,105.2567,698350619.76
2026-04-01,103.51,105.71,98.237,100.54,7198973.35,128460,101.4957,730664599.47
2026-04-02,100.57,109.65,99.065,108.15,7805600.34,167850,105.6217,824440517.24
2026-04-03,108.11,110.42,107.62,110.07,706727.25,59592,109.3700,77294759.33
2026-04-04,110.1,110.59,109.36,109.7,396361.71,36159,109.8833,43553545.90
2026-04-05,109.7,111.56,108.55,110.95,1062087.62,67823,110.3533,117204909.16
2026-04-06,110.96,110.96,106.17,110.05,4567444.23,126071,109.0600,498125467.72
2026-04-07,109.99,111.49,88.731,94.253,10384634.14,277503,98.1580,1019334917.91
2026-04-08,94.253,96.46,89.836,95.607,10894538.34,247993,93.9677,1023734347.22
2026-04-09,95.591,97.733,92.429,94.321,6905874.01,171796,94.8277,654867918.66
2026-04-10,94.322,95.548,90.938,91.708,3055163.47,80068,92.7313,283309382.12
2026-04-11,91.706,92.3,86.927,89.535,1090538.63,70026,89.5873,97698447.76
2026-04-12,89.54,100.88,88.866,98.764,4087996.19,171294,96.1700,393142593.59
2026-04-13,98.765,99.073,92.096,92.681,4595308.13,139756,94.6167,434792737.57
2026-04-14,92.695,94.412,86.501,89.81,3865045.9,95589,90.2410,348785607.06
2026-04-15,89.802,92.594,89.706,90.415,3190703.96,83546,90.9050,290050943.48
2026-04-16,90.409,93.898,90.213,92.914,1889730.05,66581,92.3417,174500822.37
2026-04-17,92.914,93.088,83.455,87.385,5814821.45,130786,87.9760,511564731.89
2026-04-18,87.379,91.322,87.2,89.651,1175806.13,89853,89.3910,105106485.77
2026-04-19,89.653,93.651,88.433,91.425,2181022.0,132600,91.1697,198843048.73
2026-04-20,91.439,91.724,88.476,89.525,3470540.74,91688,89.9083,312030533.70
2026-04-21,89.524,95.55,89.145,93.976,3660045.8,109340,92.8903,339982874.38
2026-04-22,93.962,96.713,91.394,95.98,2209560.52,92069,94.6957,209235806.48
2026-04-23,95.949,101.42,95.892,100.2,3828540.04,107339,99.1707,379678868.13
2026-04-24,100.2,101.31,97.572,99.868,3358998.09,121765,99.5833,334500226.46
2026-04-25,99.847,102.2,99.825,100.81,748796.42,105534,100.9450,75587254.62
2026-04-26,100.82,101.69,100.0,101.32,526338.65,72287,101.0033,53161958.11
2026-04-27,101.3,102.58,99.58,101.85,1283211.5,72279,101.3367,130036376.04
2026-04-28,101.84,105.85,101.63,103.85,2798723.73,83525,103.7767,290442219.62
2026-04-29,103.83,113.7,103.22,111.72,3290903.91,114185,109.5467,360507553.66
2026-04-30,111.73,114.58,107.14,111.38,2739841.24,105579,111.0333,304213705.68
2026-05-01,111.37,112.36,106.21,109.26,2250902.72,86238,109.2767,245971146.23
2026-05-02,109.26,109.48,108.23,108.64,248150.28,44230,108.7833,26994614.63
2026-05-03,108.64,108.83,105.0,108.2,1164885.48,71629,107.3433,125042690.37
2026-05-04,108.19,115.07,106.47,113.87,4771859.15,159156,111.8033,533509759.17
2026-05-05,113.86,114.32,106.27,107.27,2878058.14,150121,109.2867,314533380.59
2026-05-06,107.26,108.98,96.562,101.67,5736444.91,234078,102.4040,587434904.56
2026-05-07,101.66,103.27,95.677,101.23,6450114.14,224748,100.0590,645391970.73
2026-05-08,101.24,101.92,98.165,98.478,2637275.29,128122,99.5210,262464274.14
2026-05-09,98.477,99.169,97.221,98.772,421876.09,57745,98.3873,41507263.49
2026-05-10,98.773,103.67,97.779,103.15,1155475.65,108342,101.5330,117318909.17
2026-05-11,103.13,103.86,100.74,101.72,2311541.09,89621,102.1067,236023755.56
2026-05-12,101.73,105.36,101.73,104.11,1625162.96,84483,103.7333,168583571.05
2026-05-13,104.11,104.54,101.39,101.89,2002546.17,103907,102.6067,205474587.35
2026-05-14,101.89,102.99,99.707,102.25,1918434.27,83822,101.6490,195006925.11
2026-05-15,102.25,105.16,101.96,104.8,1079847.61,80943,103.9733,112275355.50
2026-05-16,104.8,105.54,104.3,105.27,244023.21,85425,105.0367,25631384.57
2026-05-17,105.28,106.8,104.65,106.02,520969.73,48393,105.8233,55130753.39
2026-05-18,106.02,108.11,102.71,104.82,3075734.47,123343,105.2133,323608276.04
2026-05-19,104.86,107.23,104.83,106.36,1105339.43,81491,106.1400,117320727.10
2026-05-20,106.36,106.94,99.467,101.5,2651645.6,96501,102.6357,272153413.92
2026-05-21,101.5,105.23,98.913,101.6,3567194.48,96204,101.9143,363548247.30
2026-05-22,101.6,103.13,98.3,102.76,2357915.7,123025,101.3967,239084792.26
2026-05-23,102.76,103.39,90.64,93.185,2871760.74,158532,95.7383,274937586.98
2026-05-24,93.159,98.083,93.028,95.859,1296386.79,98466,95.6567,124008039.04
2026-05-25,95.859,96.704,93.252,94.55,1771432.41,118914,94.8353,167994383.08
2026-05-26,94.563,97.8,94.541,96.46,1986571.24,117242,96.2670,191241253.56
2026-05-27,96.47,96.499,91.823,93.881,2707263.76,132085,94.0677,254665984.95
2026-05-28,93.906,96.027,91.0,92.5,2656907.43,132351,93.1757,247559121.06
2026-05-29,92.5,92.97,90.019,92.146,2928807.34,88572,91.7117,268605802.50
2026-05-30,92.145,92.58,91.317,92.413,259466.35,31257,92.1033,23897715.72
2026-05-31,92.411,93.65,92.104,93.039,413970.33,47801,92.9310,38470676.74
2026-06-01,93.05,97.894,92.71,94.931,3364409.25,101600,95.1783,320218865.07
2026-06-02,94.9,98.129,92.911,96.781,2010613.86,69974,95.9403,192898963.93
2026-06-03,96.776,99.042,96.57,97.228,2269579.44,74417,97.6133,221541214.40
2026-06-04,97.245,97.443,93.932,95.342,1670263.05,67828,95.5723,159630936.97
2026-06-05,95.342,95.749,92.3,94.25,2022757.65,77502,94.0997,190340820.61
2026-06-06,94.258,95.258,93.044,94.813,490263.25,66593,94.3717,46266960.01
2026-06-07,94.833,97.592,93.6,94.9,1391271.0,87703,95.3640,132677167.64
2026-06-08,94.907,97.289,92.918,93.487,2406573.79,99847,94.5647,227576848.26
2026-06-09,93.485,93.564,88.705,91.541,2234733.43,110204,91.2700,203964120.16
2026-06-10,91.535,95.043,89.723,93.549,2860200.87,114222,92.7717,265345601.71
2026-06-11,93.527,93.987,86.606,87.729,4266394.16,141166,89.4407,381589137.93
2026-06-12,87.733,88.571,82.909,84.814,3223080.52,119089,85.4313,275352066.26
2026-06-13,84.814,85.416,83.159,84.114,535574.03,59978,84.2297,45111222.02
2026-06-14,84.113,85.275,80.992,82.828,2239874.21,129166,83.0317,185980488.78
2026-06-15,82.842,83.236,81.73,82.927,1138003.65,79254,82.6310,94034379.60
2026-06-16,82.915,82.915,78.134,79.219,1420149.13,53630,80.0893,113738797.06
2026-06-17,79.213,82.065,77.616,78.821,2109784.23,73772,79.5007,167729252.81
2026-06-18,78.823,78.842,78.068,78.366,162887.33,7074,78.4253,12774493.15
