date,open,high,low,close,volume,num_trades,vwap_hlc3,usd_volume
2026-01-06,58.726,58.726,56.744,56.744,11006.403,471,57.4047,631818.90
2026-01-07,56.745,57.512,55.812,56.35,13185.463,885,56.5580,745743.42
2026-01-08,56.328,58.722,56.071,58.297,19582.173,823,57.6967,1129826.11
2026-01-09,58.284,59.905,57.79,59.006,30004.171,2347,58.9003,1767255.67
2026-01-10,58.911,59.938,58.744,58.81,4521.839,339,59.1640,267530.08
2026-01-11,58.951,60.731,58.775,59.52,11176.99,1506,59.6753,666990.60
2026-01-12,59.514,59.855,58.38,59.672,27391.648,1242,59.3023,1624388.64
2026-01-13,59.638,61.21,59.424,60.91,27381.09,1925,60.5147,1656957.53
2026-01-14,60.928,62.459,59.26,60.706,34299.001,3627,60.8083,2085665.09
2026-01-15,60.713,60.847,58.792,59.165,27486.261,2106,59.6013,1638217.80
2026-01-16,59.16,60.742,58.87,59.643,15450.793,1111,59.7517,923210.63
2026-01-17,59.654,60.0,58.93,59.578,4076.542,540,59.5027,242565.12
2026-01-18,59.417,60.2,58.741,59.089,3599.049,770,59.3433,213579.56
2026-01-19,59.049,59.9,57.5,59.391,16990.546,1066,58.9303,1001258.54
2026-01-20,59.419,60.5,58.797,59.657,15416.327,935,59.6513,919604.46
2026-01-21,59.63,60.859,59.24,60.494,31941.787,1144,60.1977,1922821.05
2026-01-22,60.519,60.816,58.978,59.592,29733.173,1125,59.7953,1777904.99
2026-01-23,59.61,61.52,59.6,61.38,61348.474,1318,60.8333,3732032.17
2026-01-24,61.437,62.583,61.433,62.473,15428.544,516,62.1630,959084.58
2026-01-25,62.473,62.51,58.277,61.108,48245.756,1590,60.6317,2925220.60
2026-01-26,61.074,61.67,60.291,60.82,49891.081,1895,60.9270,3039713.89
2026-01-27,60.764,62.679,60.153,62.566,44847.883,2013,61.7993,2771569.27
2026-01-28,62.611,63.857,62.053,63.4,171781.852,4956,63.1033,10840007.47
2026-01-29,63.419,66.659,63.392,65.655,249838.529,6085,65.2353,16298299.72
2026-01-30,65.585,66.185,63.675,65.655,209371.267,8173,65.1717,13645074.42
2026-01-31,65.73,66.07,64.981,64.981,21506.675,4074,65.3440,1405332.17
2026-02-01,64.981,65.78,60.713,63.317,79424.283,8000,63.2700,5025174.39
2026-02-02,63.17,63.727,61.248,61.896,138401.37,5355,62.2903,8621067.47
2026-02-03,61.87,64.273,61.445,63.82,232717.997,9787,63.1793,14702967.91
2026-02-04,63.82,65.416,61.656,64.441,160325.963,5659,63.8377,10234835.38
2026-02-05,64.418,64.647,62.737,62.903,115551.118,2066,63.4290,7329291.86
2026-02-06,62.837,64.632,62.204,63.46,59270.161,1587,63.4320,3759624.85
2026-02-07,63.4,64.191,62.861,62.88,3045.423,491,63.3107,192807.76
2026-02-08,62.881,63.424,62.5,62.992,2802.787,313,62.9720,176497.10
2026-02-09,62.926,64.882,62.669,64.445,41152.198,2048,63.9987,2633685.80
2026-02-10,64.445,64.71,63.52,64.199,51277.051,1117,64.1430,3289063.88
2026-02-11,64.199,65.678,64.119,64.809,30729.605,4220,64.8687,1993388.50
2026-02-12,64.808,64.962,62.264,62.784,29644.891,3763,63.3367,1877608.58
2026-02-13,62.833,63.135,62.0,63.135,21901.072,7604,62.7567,1374438.28
2026-02-14,62.55,63.106,62.17,63.064,2314.986,207,62.7800,145334.82
2026-02-15,62.956,63.331,62.716,62.773,4268.373,822,62.9400,268651.40
2026-02-16,62.812,63.773,62.376,63.623,30355.252,2232,63.2573,1920192.29
2026-02-17,63.614,64.014,61.611,62.197,83369.002,4588,62.6073,5219510.90
2026-02-18,62.209,65.617,62.151,65.179,99316.065,7729,64.3157,6387578.93
2026-02-19,65.179,66.865,65.003,66.46,264238.828,9028,66.1093,17468652.76
2026-02-20,66.468,67.097,65.787,66.6,243776.71,6968,66.4947,16209851.07
2026-02-21,66.6,67.33,66.587,67.329,9756.386,2283,67.0820,654477.89
2026-02-22,67.33,68.253,65.7,66.083,69934.893,4281,66.6787,4663165.42
2026-02-23,66.064,67.301,65.586,66.404,224019.327,6789,66.4303,14881678.57
2026-02-24,66.417,67.353,65.631,66.039,340669.152,8119,66.3410,22600332.21
2026-02-25,66.096,66.642,65.185,65.669,170319.122,2363,65.8320,11212448.44
2026-02-26,65.651,66.692,63.648,65.277,354221.087,3650,65.2057,23097222.13
2026-02-27,65.208,70.654,64.906,68.603,336251.468,11777,68.0543,22883369.49
2026-02-28,68.526,70.654,68.1,70.654,106210.304,7512,69.8027,7413762.45
2026-03-01,70.654,75.733,70.654,72.052,393236.897,8624,72.8130,28632758.18
2026-03-02,72.052,73.393,69.406,70.984,1542333.991,49030,71.2610,109908262.53
2026-03-03,70.984,78.029,70.979,75.597,3131485.031,67263,74.8683,234449065.13
2026-03-04,75.544,77.173,73.268,75.91,2669005.003,45629,75.4503,201377317.14
2026-03-05,75.923,82.082,74.996,79.477,3106872.557,53858,78.8517,244982079.24
2026-03-06,79.417,92.112,78.249,89.721,4762116.851,155918,86.6940,412846958.28
2026-03-07,89.721,95.203,89.316,94.35,1559081.923,162139,92.9563,144926538.93
2026-03-08,94.349,111.53,92.423,107.23,3322095.38,153303,103.7277,344593202.21
2026-03-09,107.27,118.0,80.146,87.76,19282048.126,481860,95.3020,1837617750.50
2026-03-10,87.766,90.113,76.567,84.82,13891434.272,339772,83.8333,1164565239.80
2026-03-11,84.764,93.665,81.0,91.751,12479583.55,304889,88.8053,1108253577.02
